C_Name,T_Name,Town_ID,traffic,land,flood
桃園市,新屋區,6801100,0,0,0
新北市,鶯歌區,6500800,0,0,0
南投縣,南投市,1000801,0,0,0
花蓮縣,吉安鄉,1001505,0,0,0
臺中市,東區,6600200,0,0,0
臺中市,后里區,6601500,0,0,0
臺南市,安平區,6703600,0,0,2
臺中市,大甲區,6601100,0,0,0
嘉義縣,民雄鄉,1001005,0,0,3
苗栗縣,苗栗市,1000501,0,0,0
臺中市,清水區,6601200,0,0,0
基隆市,仁愛區,1001704,0,0,0
臺中市,龍井區,6602500,0,0,0
臺南市,新市區,6702000,0,0,0
高雄市,前金區,6400700,0,0,0
臺中市,霧峰區,6602600,0,0,0
宜蘭縣,羅東鎮,1000202,0,0,0
臺南市,歸仁區,6702800,0,0,0
屏東縣,內埔鄉,1001313,0,0,0
新竹縣,新豐鄉,1000406,0,0,0
高雄市,燕巢區,6402100,0,0,0
高雄市,鳥松區,6401800,0,0,0
南投縣,竹山鎮,1000804,0,1,0
高雄市,橋頭區,6402000,0,0,0
彰化縣,鹿港鎮,1000702,0,0,0
高雄市,路竹區,6402400,0,0,0
基隆市,中正區,1001701,0,0,0
宜蘭縣,蘇澳鎮,1000203,0,0,0
南投縣,埔里鎮,1000802,0,0,0
臺南市,麻豆區,6700700,6,0,31
花蓮縣,新城鄉,1001504,0,0,0
新竹縣,寶山鄉,1000410,0,0,0
臺南市,安定區,6702100,1,0,5
臺南市,新營區,6700100,0,0,0
宜蘭縣,五結鄉,1000209,0,0,0
新竹縣,關西鎮,1000404,0,0,0
新北市,八里區,6502300,0,0,0
苗栗縣,三義鄉,1000513,0,0,0
高雄市,大樹區,6401500,0,0,2
宜蘭縣,冬山鄉,1000208,0,0,0
基隆市,安樂區,1001706,0,0,0
彰化縣,和美鎮,1000703,0,0,0
臺中市,梧棲區,6601400,0,0,0
苗栗縣,通霄鎮,1000503,0,0,0
高雄市,林園區,6401300,0,0,0
宜蘭縣,礁溪鄉,1000205,0,0,0
嘉義縣,水上鄉,1001012,0,1,1
雲林縣,虎尾鎮,1000903,0,0,0
苗栗縣,苑裡鎮,1000502,0,0,0
臺中市,大肚區,6602400,0,0,0
新北市,瑞芳區,6501200,0,0,0
嘉義縣,太保市,1001001,0,0,0
屏東縣,萬丹鄉,1001305,0,0,4
澎湖縣,馬公市,1001601,0,0,0
高雄市,大社區,6401600,0,0,0
臺南市,善化區,6701900,1,0,3
新竹縣,新埔鎮,1000403,0,0,0
彰化縣,溪湖鎮,1000711,0,0,0
臺南市,新化區,6701800,0,0,0
臺南市,佳里區,6701200,0,0,0
雲林縣,斗南鎮,1000902,0,0,0
屏東縣,恆春鎮,1001304,0,0,0
花蓮縣,秀林鄉,1001511,0,0,0
屏東縣,潮州鎮,1001302,0,0,0
新竹縣,芎林鄉,1000407,0,0,0
宜蘭縣,頭城鎮,1000204,0,0,0
彰化縣,大村鄉,1000713,0,0,0
苗栗縣,銅鑼鄉,1000510,0,0,0
高雄市,旗山區,6403000,1,0,2
臺南市,官田區,6701000,0,0,0
苗栗縣,造橋鄉,1000515,0,0,0
嘉義縣,中埔鄉,1001013,1,3,0
雲林縣,北港鎮,1000906,0,0,0
臺中市,新社區,6601900,0,0,1
臺中市,和平區,6602900,0,0,0
基隆市,信義區,1001707,0,0,0
新北市,石碇區,6501900,0,0,0
苗栗縣,後龍鎮,1000506,0,0,0
苗栗縣,公館鄉,1000509,0,0,0
高雄市,美濃區,6403100,0,0,2
花蓮縣,壽豐鄉,1001506,0,0,0
基隆市,暖暖區,1001703,0,0,0
高雄市,阿蓮區,6402300,0,0,0
彰化縣,二林鎮,1000720,0,0,0
彰化縣,花壇鄉,1000708,0,0,0
雲林縣,西螺鎮,1000904,1,0,0
臺南市,白河區,6700300,0,0,0
臺南市,關廟區,6702900,0,0,0
屏東縣,長治鄉,1001306,0,0,0
嘉義縣,新港鄉,1001007,0,0,0
新北市,深坑區,6501800,0,0,0
彰化縣,埔心鄉,1000715,0,0,0
彰化縣,福興鄉,1000706,0,0,0
彰化縣,芳苑鄉,1000723,0,0,0
基隆市,中山區,1001705,0,0,0
雲林縣,古坑鄉,1000907,0,0,0
南投縣,名間鄉,1000806,0,0,0
彰化縣,秀水鄉,1000707,0,0,0
雲林縣,麥寮鄉,1000913,0,0,0
屏東縣,東港鎮,1001303,1,0,2
高雄市,湖內區,6402500,0,0,0
臺中市,石岡區,6602000,0,0,1
臺南市,後壁區,6700500,0,0,0
屏東縣,新園鄉,1001317,0,0,3
臺東縣,卑南鄉,1001404,1,0,0
彰化縣,田中鎮,1000712,0,0,0
嘉義縣,大林鎮,1001004,0,0,0
嘉義縣,朴子市,1001002,0,0,11
彰化縣,社頭鄉,1000717,0,0,0
臺中市,外埔區,6602100,0,0,0
南投縣,魚池鄉,1000809,0,0,0
高雄市,鹽埕區,6400100,0,0,0
彰化縣,伸港鄉,1000705,0,0,0
高雄市,茄萣區,6402600,0,0,0
南投縣,仁愛鄉,1000813,0,0,0
苗栗縣,大湖鄉,1000508,0,0,0
宜蘭縣,員山鄉,1000207,0,0,0
彰化縣,北斗鎮,1000719,0,0,0
屏東縣,竹田鄉,1001314,0,0,0
南投縣,鹿谷鄉,1000807,0,0,0
臺東縣,太麻里鄉,1001409,2,0,0
臺南市,七股區,6701500,1,0,2
屏東縣,枋寮鄉,1001316,0,0,0
嘉義縣,竹崎鄉,1001014,3,3,2
臺南市,柳營區,6700400,1,0,2
新北市,萬里區,6502800,0,0,0
雲林縣,莿桐鄉,1000909,0,0,0
屏東縣,萬巒鄉,1001312,0,0,0
彰化縣,田尾鄉,1000721,0,0,0
彰化縣,溪州鄉,1000726,0,0,0
臺中市,中區,6600100,0,0,0
高雄市,梓官區,6402900,0,0,1
雲林縣,元長鄉,1000917,0,0,3
